timestamp,t,drone_id,experiment_id,pattern,x,y,z,vx,vy,vz,roll,pitch,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,rpm1,rpm2,rpm3,rpm4,battery
1782499366.2587123,0.1956348419189453,drone_1,,square,,,,,,,,,,0.006,0.018,0.974,0.101,0.063,-0.003,0.066,0.0,0.0,12500,12048,11933,12422,7.165
1782499366.4640548,0.40097737312316895,drone_1,,square,,,,,,,,,,0.007,0.029,0.956,0.249,0.243,-0.002,0.066,0.0,0.0,12239,12180,11961,12285,7.162
1782499366.6657596,0.6026821136474609,drone_1,,square,,,,,,,,,,-0.002,0.041,0.984,0.125,0.088,0.01,0.066,0.0,0.0,12315,12315,12180,12254,7.154
1782499366.9439857,0.8809082508087158,drone_1,,square,,,,,,,,,,-0.011,0.041,1.065,-0.199,-0.115,-0.015,0.066,0.0,0.0,12500,11947,12135,12330,7.161
1782499367.1507483,1.0876708030700684,drone_1,,square,,,,,,,,,,-0.009,0.052,1.018,-0.082,-0.149,0.001,0.066,0.0,0.0,12330,11820,12062,12406,7.164
1782499367.3500483,1.286970853805542,drone_1,,square,,,,,,,,,,-0.016,0.046,0.984,-0.028,0.058,0.008,0.066,0.0,0.0,12239,11918,12195,12195,7.156
1782499367.5698373,1.5067598819732666,drone_1,,square,,,,,,,,,,-0.009,0.049,1.036,0.018,0.001,-0.006,0.066,0.0,0.0,12360,11961,12254,12300,7.153
1782499367.7472372,1.684159755706787,drone_1,,square,,,,,,,,,,-0.004,0.049,1.005,0.073,0.077,-0.002,0.066,0.0,0.0,12300,12033,12315,12269,7.157
1782499367.9458427,1.882765293121338,drone_1,,square,,,,,,,,,,-0.011,0.036,1.01,-0.031,-0.011,0.014,0.066,0.0,0.0,12239,12254,12594,12165,7.153
1782499368.1440532,2.0809757709503174,drone_1,,square,,,,,,,,,,-0.002,0.04,1.019,0.045,0.014,-0.002,0.066,0.0,0.0,12033,12391,12285,12033,7.156
1782499368.3908522,2.3277747631073,drone_1,,square,,,,,,,,,,-0.002,0.036,0.983,0.047,0.043,0.003,0.066,0.0,0.0,12048,12453,12531,11933,7.151
1782499368.6419134,2.578835964202881,drone_1,,square,,,,,,,,,,-0.008,0.051,0.987,-0.031,0.021,0.001,0.066,0.0,0.0,11961,12658,12484,11778,7.146
1782499368.8734183,2.8103408813476562,drone_1,,square,,,,,,,,,,-0.001,0.045,0.986,-0.047,0.014,0.002,0.066,0.0,0.0,12033,12722,12738,11534,7.142
1782499369.1619048,3.098827362060547,drone_1,,square,,,,,,,,,,0.006,0.043,0.972,0.092,-0.008,-0.03,0.066,0.0,0.0,12285,12626,12642,11848,7.139
1782499369.400777,3.3376996517181396,drone_1,,square,,,,,,,,,,0.004,0.038,1.015,0.022,0.04,-0.027,0.066,0.0,0.0,12515,12210,12239,12165,7.141
1782499369.594314,3.5312366485595703,drone_1,,square,,,,,,,,,,-0.002,0.051,1.014,0.06,0.052,0.005,0.066,0.0,0.0,12787,12062,11976,12254,7.14
1782499369.78441,3.721332550048828,drone_1,,square,,,,,,,,,,0.012,0.039,1.011,0.028,-0.006,0.006,0.066,0.0,0.0,12738,11918,11890,12269,7.139
1782499370.0060914,3.943013906478882,drone_1,,square,,,,,,,,,,0.007,0.049,0.999,0.05,-0.01,0.011,0.066,0.0,0.0,12836,11820,11834,12578,7.136
1782499370.2174647,4.1543872356414795,drone_1,,square,,,,,,,,,,0.013,0.047,1.068,0.003,-0.007,0.012,0.066,0.0,0.0,12738,11764,11806,12453,7.137
1782499370.4112663,4.348188877105713,drone_1,,square,,,,,,,,,,0.004,0.054,1.009,-0.196,-0.166,0.004,0.066,0.0,0.0,12515,11792,11806,12422,7.136
1782499370.6020298,4.538952350616455,drone_1,,square,,,,,,,,,,0.005,0.044,1.013,-0.227,-0.157,0.006,0.066,0.0,0.0,12484,11834,11890,12300,7.137
1782499370.7893767,4.726299285888672,drone_1,,square,,,,,,,,,,0.019,0.046,1.022,-0.03,0.077,0.015,0.066,0.0,0.0,12690,11876,11990,12345,7.131
1782499370.9823318,4.919254302978516,drone_1,,square,,,,,,,,,,0.014,0.031,1.013,0.202,0.289,0.007,0.066,0.0,0.0,12722,12150,11876,12269,7.134
1782499371.2315233,5.168445825576782,drone_1,,square,,,,,,,,,,0.009,0.034,1.063,0.056,0.086,-0.003,0.066,0.0,0.0,12578,12224,11792,12437,7.132
1782499371.4249282,5.361850738525391,drone_1,,square,,,,,,,,,,0.006,0.024,1.029,-0.125,-0.021,-0.009,0.066,0.0,0.0,12531,12180,11737,12547,7.133
1782499371.6982207,5.635143280029297,drone_1,,square,,,,,,,,,,0.009,0.024,0.997,-0.239,0.017,-0.002,0.066,0.0,0.0,12610,12048,11709,12406,7.133
1782499371.903964,5.84088659286499,drone_1,,square,,,,,,,,,,0.015,0.017,1.004,0.266,-0.014,-0.01,0.066,0.0,0.0,12610,12121,11560,12804,7.127
1782499372.141649,6.078571557998657,drone_1,,square,,,,,,,,,,0.016,-0.002,0.998,0.214,0.004,0.0,0.066,0.0,0.0,12787,12121,11389,12706,7.125
